Teste;Tamanho Entrada;Aleatório (média de 30 repetições);Ordem crescente;Ordem decrescente;Quase ordenado (média de 30 repetições)
1;1000,0;499499,0;499499,0;499499,0;499499,0
2;5000,0;12497499,0;12497499,0;12497499,0;12497499,0
3;10000,0;49994999,0;49994999,0;49994999,0;49994999,0
