Teste;Tamanho Entrada;Aleatório (média de 30 repetições);Ordem crescente;Ordem decrescente;Quase ordenado (média de 30 repetições)
1;1000,0;249290,0;0,0;499969,0;58736,0
2;5000,0;6248422,0;0,0;12499889,0;1443272,0
3;10000,0;25034582,0;0,0;49999740,0;5879516,0
