Teste;Tamanho Entrada;Aleatório (média de 30 repetições);Ordem crescente;Ordem decrescente;Quase ordenado (média de 30 repetições)
1;1000,0;498419,0;999,0;499500,0;491911,0
2;5000,0;12492386,0;4999,0;12497500,0;12478892,0
3;10000,0;49984278,0;9999,0;49995000,0;49949994,0
