Teste;Tamanho Entrada;Aleatório (média de 30 repetições);Ordem crescente;Ordem decrescente;Quase ordenado (média de 30 repetições)
1;1000,0;3,1799;0,0;0,0;1,7685
2;5000,0;79,5932;0,0;65,809;49,1957
3;10000,0;303,1897;0,0;268,64;148,986
