Teste;Tamanho Entrada;Aleatório (média de 30 repetições);Ordem crescente;Ordem decrescente;Quase ordenado (média de 30 repetições)
1;1000,0;0,0;0,0;0,0;0,0
2;5000,0;1,3167;1,555;1,429;0,9652
3;10000,0;1,5695;0,0;0,0;3,7773
