Teste;Tamanho Entrada;Aleatório (média de 30 repetições);Ordem crescente;Ordem decrescente;Quase ordenado (média de 30 repetições)
1;1000,0;19952,0;19952,0;19952,0;19952,0
2;5000,0;123616,0;123616,0;123616,0;123616,0
3;10000,0;267232,0;267232,0;267232,0;267232,0
