Teste;Tamanho Entrada;Aleatório (média de 30 repetições);Ordem crescente;Ordem decrescente;Quase ordenado (média de 30 repetições)
1;1000,0;249293,0;999,0;499349,0;58750,0
2;5000,0;6248427,0;4999,0;12496767,0;1443287,0
3;10000,0;25034587,0;9999,0;49993498,0;5879533,0
