Teste;Tamanho Entrada;Aleatório (média de 30 repetições);Ordem crescente;Ordem decrescente;Quase ordenado (média de 30 repetições)
1;1000,0;1983,0;0,0;1220,0;295,0
2;5000,0;9980,0;0,0;6192,0;1478,0
3;10000,0;19978,0;0,0;12518,0;3007,0
