Inicializando testes

ALGORITMO;CENÁRIO;TAMANHO;TEMPO MÉDIO EM MS;MÉDIA DE COMPARAÇÕES;MÉDIA DE MOVIMENTAÇÕES;ESTABILIDADE
HeapSort;Aleatorio;10000;2.8453;235351;248385;Nao
HeapSort;Aleatorio;15000;3.7599;370332;389860;Nao
HeapSort;Crescente;1000;0.0000;17543;19332;Nao
HeapSort;Crescente;5000;1.2300;112100;121212;Nao
HeapSort;Crescente;10000;2.5160;244395;262520;Nao
HeapSort;Crescente;15000;2.4640;383180;409984;Nao
HeapSort;Quase_Ordenado;1000;0.1846;17393;19147;Nao
HeapSort;Quase_Ordenado;5000;1.1348;111181;119899;Nao
HeapSort;Quase_Ordenado;10000;2.0144;242534;259996;Nao
HeapSort;Quase_Ordenado;15000;3.0495;380359;406540;Nao
HeapSort;Decrescente;1000;0.0000;15982;16642;Nao
HeapSort;Decrescente;5000;1.0460;103239;106842;Nao
HeapSort;Decrescente;10000;2.1290;226569;233230;Nao
HeapSort;Decrescente;15000;3.3590;357722;368192;Nao

mergeSortCorrigido;Aleatorio;1000;0.3060;8708;19952;Sim
mergeSortCorrigido;Aleatorio;5000;1.8210;55208;123616;Sim
mergeSortCorrigido;Aleatorio;10000;3.7768;120458;267232;Sim
mergeSortCorrigido;Aleatorio;15000;5.2190;189293;417232;Sim
mergeSortCorrigido;Crescente;1000;0.0000;5044;19952;Sim
mergeSortCorrigido;Crescente;5000;1.3030;32004;123616;Sim
mergeSortCorrigido;Crescente;10000;4.6230;69008;267232;Sim
mergeSortCorrigido;Crescente;15000;3.7060;106364;417232;Sim
mergeSortCorrigido;Quase_Ordenado;1000;0.1961;8053;19952;Sim
mergeSortCorrigido;Quase_Ordenado;5000;1.3769;52527;123616;Sim
mergeSortCorrigido;Quase_Ordenado;10000;2.5825;114828;267232;Sim
mergeSortCorrigido;Quase_Ordenado;15000;3.8543;180003;417232;Sim
mergeSortCorrigido;Decrescente;1000;0.0000;5136;19952;Sim
mergeSortCorrigido;Decrescente;5000;0.0000;31173;123616;Sim
mergeSortCorrigido;Decrescente;10000;0.0000;67342;267232;Sim
mergeSortCorrigido;Decrescente;15000;0.0000;105676;417232;Sim


TESTES BOZOSORT
ALGORITMO;CENÁRIO;TAMANHO;TEMPO MÉDIO EM MS;MÉDIA DE COMPARAÇÕES;MÉDIA DE MOVIMENTAÇÕES;STATUS
BozoSort;Aleatorio;4;16.0340;43;60;OK
BozoSort;Aleatorio;4;0.0000;86;153;OK
BozoSort;Aleatorio;4;0.0000;3;0;OK
BozoSort;Aleatorio;4;0.0000;71;120;OK
BozoSort;Aleatorio;4;0.0000;58;108;OK
BozoSort;Aleatorio;8;0.0000;285;450;OK
BozoSort;Aleatorio;8;2.1970;25562;43608;OK
BozoSort;Aleatorio;8;0.0000;63980;104856;OK
BozoSort;Aleatorio;8;0.0000;2955;4650;OK
BozoSort;Aleatorio;8;0.0000;6626;10953;OK
BozoSort;Aleatorio;10;33.4700;1052828;1708836;OK
BozoSort;Aleatorio;10;15.0900;517638;827535;OK
BozoSort;Aleatorio;10;22.2320;730444;1209057;OK
BozoSort;Aleatorio;10;15.9640;617219;982566;OK
BozoSort;Aleatorio;10;0.0000;97131;157617;OK
BozoSort;Aleatorio;12;37.8460;1253774;1944813;OK
BozoSort;Aleatorio;12;2968.0750;97687275;162307479;OK
BozoSort;Aleatorio;12;1161.6090;38979923;64023804;OK
BozoSort;Aleatorio;12;946.5640;25162222;39621924;OK
BozoSort;Aleatorio;12;4169.6580;142563682;240148209;OK

Coleta de métricas finalizada
