Teste;Tamanho Entrada;Aleatório (média de 30 repetições);Ordem crescente;Ordem decrescente;Quase ordenado (média de 30 repetições)
1;1000,0;1,0471;0,0;17,108;1,1008
2;5000,0;33,3625;30,773;61,58;36,1871
3;10000,0;112,3657;107,369;170,458;112,4579
