Teste;Tamanho Entrada;Aleatório (média de 30 repetições);Ordem crescente;Ordem decrescente;Quase ordenado (média de 30 repetições)
1;1000,0;8707,0;5250,0;4932,0;8146,0
2;5000,0;55207,0;32819,0;29804,0;52800,0
3;10000,0;120457,0;70559,0;64608,0;115362,0
