Teste;Tamanho Entrada;Aleatório (média de 30 repetições);Ordem crescente;Ordem decrescente;Quase ordenado (média de 30 repetições)
1;1000,0;11343,0;499500,0;386985,0;23552,0
2;5000,0;75843,0;12497500,0;9831627,0;142744,0
3;10000,0;165220,0;49995000,0;39657056,0;346459,0
