CENARIO;1000;5000;10000;15000
Aleatorio;11343;75843;165220;258478
Crescente;499500;12497500;49995000;112492500
Decrescente;386985;9831627;39657056;89766122
Quase_Ordenado;23552;142744;346459;478859
