CENARIO;1000;5000;10000;15000
Aleatorio;Nao;Nao;Nao;Nao
Crescente;Nao;Nao;Nao;Nao
Decrescente;Nao;Nao;Nao;Nao
Quase_Ordenado;Nao;Nao;Nao;Nao
